date,1. open,2. high,3. low,4. close,5. volume,SMA5,SMA10,SMA20,MOM6,MOM12,ULTOSC,RSI6,RSI12,WILLR,ROC
2007-07-31,520.23,520.44,510.0,510.0,8532400.0,511.152,520.048,532.585,-2.51,-42.16,44.776,30.3841,37.0951,-81.3735,-3.8425
2007-07-30,512.92,519.34,510.5,516.11,7918600.0,511.952,524.548,533.604,-4.01,-29.22,44.9461,37.991,41.4364,-71.139,-1.2608
2007-07-27,508.53,516.62,505.5,511.89,11007100.0,511.232,528.236,533.9335,-36.7,-32.58,44.3315,27.5514,36.7499,-78.2077,-2.499
2007-07-26,508.74,512.59,498.88,508.0,13753000.0,512.878,532.263,534.5895,-41.5,-35.34,43.7183,16.7903,32.1629,-84.7236,-3.4753
2007-07-25,516.98,517.02,505.56,509.76,11078900.0,520.996,535.996,535.504,-45.24,-32.8,40.9573,17.7864,33.1603,-92.0785,-3.866
2007-07-24,509.3,518.69,507.11,514.0001,11133000.0,528.944,539.467,536.529,-38.9899,-25.3999,42.128,20.1912,35.5982,-86.6134,-2.5444
2007-07-23,519.01,520.0,512.15,512.51,12700600.0,537.144,542.401,537.2,-39.65,-29.12,43.535,16.9008,34.0359,-93.8672,-2.3753
2007-07-20,511.9,523.18,509.5,520.12,35509000.0,545.24,545.406,537.8235,-25.21,-14.22,48.1297,20.4973,38.3963,-78.3619,1.169
2007-07-19,553.46,553.52,542.24,548.59,22232100.0,551.648,547.334,537.523,4.12,18.21,59.1626,60.9016,68.4835,-19.1013,7.573
2007-07-18,553.89,554.5,543.81,549.5,12147800.0,550.996,546.638,535.592,6.16,26.7999,57.4798,64.2764,70.0927,-17.3614,6.8422
2007-07-17,555.04,557.73,552.38,555.0,8648500.0,549.99,545.122,533.8325,12.44,29.99,55.8816,89.1618,80.584,-6.8451,7.7252
2007-07-16,550.3,558.58,549.31,552.99,13185800.0,547.658,542.66,531.8425,13.59,26.7,53.9212,87.7131,79.559,-10.2871,9.3103
2007-07-13,547.91,552.67,547.25,552.16,10463700.0,545.572,539.631,529.4875,10.53,21.9,58.6768,87.1207,79.1423,-0.9914,9.8083
2007-07-12,545.86,547.32,540.22,545.33,6876300.0,543.02,536.916,527.0215,10.99,17.91,59.4285,80.759,75.3513,-7.1774,7.9348
2007-07-11,543.61,546.5,540.01,544.47,6611900.0,542.28,535.012,525.017,14.09,19.49,61.066,79.7072,74.8232,-8.5315,7.865
2007-07-10,543.79,547.0,541.65,543.34,7704200.0,540.254,533.591,523.032,20.6399,29.23,57.225,78.4153,74.1562,-10.7892,6.2581
2007-07-09,543.0,548.74,540.26,542.56,7452100.0,537.662,531.999,521.432,17.55,32.59,57.1928,77.5948,73.7156,-12.3477,5.2513
2007-07-06,541.25,543.87,538.73,539.4,5488500.0,533.69,530.241,520.0785,13.11,25.09,61.4949,74.2961,71.9389,-10.9385,4.7257
2007-07-05,535.56,544.4,532.15,541.63,9875900.0,530.812,527.712,518.8615,11.37,26.43,64.4457,81.3386,75.2283,-6.0599,4.5113
2007-07-03,531.06,534.4,527.5,534.34,3739800.0,527.744,524.546,517.6925,6.92,28.45,58.6043,74.8422,71.2952,-1.7906,2.9874
2007-07-02,525.49,531.85,524.2,530.38,6968200.0,526.928,522.543,516.9175,5.4,27.54,59.2498,70.1361,68.8309,-12.6997,4.597
2007-06-29,526.02,527.4,519.46,522.7001,7753400.0,526.336,521.025,515.752,8.5901,17.4601,58.0015,57.1955,63.2172,-32.8607,4.4571
2007-06-28,524.88,529.5,523.8,525.01,8328400.0,526.792,519.344,514.6368,15.04,20.24,54.4158,64.1643,66.5204,-26.6845,5.443
2007-06-27,525.0,527.99,519.56,526.29,12233900.0,524.612,517.127,513.2818,11.98,14.95,56.3885,67.9896,68.334,-22.937,5.5535
2007-06-26,532.73,533.2,526.24,530.26,11367600.0,521.348,515.022,511.8973,15.06,14.77,58.025,80.3748,74.0761,-9.0979,8.8584
2007-06-25,528.98,534.99,523.38,527.42,15834100.0,518.158,512.473,509.7398,21.53,12.36,58.4081,77.984,72.5644,-14.5605,9.0793
2007-06-22,516.42,524.99,516.1,524.98,14392900.0,515.714,510.865,507.5448,22.14,6.73,61.9021,75.8802,71.2436,-3.0875,10.6782
2007-06-21,510.98,515.29,506.28,514.11,8810500.0,511.896,509.916,505.0123,8.87,-4.73,57.3526,62.62,64.2075,-22.5273,8.4689
2007-06-20,516.96,518.75,509.06,509.97,8667700.0,509.642,510.011,503.0053,5.2,2.9,50.4699,54.7189,60.8644,-30.0545,7.1681
2007-06-19,514.01,517.25,511.54,514.31,8701800.0,508.696,510.839,501.2998,2.97,13.913,51.4059,67.1111,66.866,-22.1636,9.2881
